game_id,dlc_steam_appid
game_000038,1697640
game_000038,1702060
game_000038,1762700
game_000038,1822810
game_000038,1935540
game_000038,2971370
game_000039,323180
game_000040,3816030
game_000040,2968040
game_000040,2622430
game_000042,598190
game_000042,916000
game_000043,442010
game_000043,506970
game_000043,506971
game_000044,3868650
game_000044,598110
game_000044,540810
game_000044,404090
game_000044,435881
game_000044,480631
game_000044,480630
game_000044,490650
game_000044,435880
game_000044,435870
game_000045,298641
game_000045,2974360
game_000045,4192260
game_000045,4263300
game_000045,4263310
game_000046,2771110
game_000048,4767590
game_000048,4234590
game_000048,4234580
game_000048,4234570
game_000048,4234560
game_000048,4206290
game_000048,3635260
game_000048,3486400
game_000048,3314750
game_000048,2721510
game_000049,4373290
game_000049,4373360
game_000049,4373370
game_000049,2838630
game_000049,2838640
game_000049,3937210
game_000050,4096360
game_000050,3377850
game_000050,2117950
game_000051,3380990
game_000052,2158250
game_000052,1308090
game_000052,947510
game_000052,645402
game_000052,1478300
game_000052,1436950
game_000052,1388850
game_000052,1284470
game_000052,1270540
game_000052,1253990
game_000053,1517480
game_000053,1517481
game_000053,1721880
game_000053,1843930
game_000053,1843931
game_000053,1843932
game_000053,1895320
game_000053,2087420
game_000055,3353470
game_000055,1426300
game_000055,401920
game_000055,570660
game_000055,322660
game_000056,4207910
game_000056,3481460
game_000056,2934390
game_000056,2416900
game_000056,2291670
game_000056,2165590
game_000056,1946960
game_000056,1797340
game_000056,801860
game_000056,1283090
game_000056,1283091
game_000056,1430610
game_000056,1530640
game_000056,802640
game_000057,3796260
game_000057,3796290
game_000057,3757310
game_000057,3796270
game_000057,3152780
game_000057,2183930
game_000057,1880650
game_000057,1348661
game_000057,1158100
game_000057,3152790
game_000057,2695150
game_000057,1348660
game_000057,3152800
game_000057,1579991
game_000057,1317230
game_000057,1086480
game_000057,1579992
game_000057,1317250
game_000057,1086481
game_000057,3654400
game_000057,461800
game_000057,584141
game_000057,1877010
game_000057,2981720
game_000058,1746860
game_000058,598120
game_000059,2731960
game_000059,2731970
game_000059,2731980
game_000059,2732000
game_000062,1880832
game_000063,1240360
game_000064,1619300
game_000065,2781620
game_000065,3055670
game_000065,2306620
game_000065,1607890
game_000065,1236890
game_000065,1905390
game_000065,3055680
game_000066,2363740
game_000066,3269070
game_000067,872280
game_000067,218560
game_000067,224180
game_000067,225826
game_000067,225828
game_000070,4198200
game_000070,2647830
game_000070,2647760
game_000070,395180
game_000070,1021790
game_000070,601670
game_000070,304380
game_000070,288520
game_000070,332350
game_000070,571710
game_000070,639600
game_000070,275700
game_000070,744950
game_000070,249860
game_000070,798390
game_000070,1042220
game_000070,1227700
game_000070,1616620
game_000070,1294440
game_000070,1175380
game_000070,1681170
game_000070,1325500
game_000072,1206340
game_000073,4031130
game_000073,4031140
game_000073,4031150
game_000073,4031160
game_000073,3731500
game_000073,3731510
game_000073,3731530
game_000073,2955910
game_000073,2955900
game_000073,2955920
game_000073,2955870
game_000073,2955880
game_000073,2955890
game_000073,2934300
game_000073,2342310
game_000073,2313320
game_000073,2313322
game_000073,2313321
game_000073,2313323
game_000073,2313324
game_000073,2148900
game_000073,2224691
game_000073,2224690
game_000073,2148902
game_000073,2225940
game_000073,2225941
game_000073,2148901
game_000073,2148903
game_000073,2148904
game_000073,2144480
game_000073,2144481
game_000073,2144482
game_000073,2144483
game_000073,2008400
game_000073,1992290
game_000073,1992291
game_000073,1992293
game_000073,1992292
game_000073,1726380
game_000073,1726382
game_000073,1726381
game_000073,1726384
game_000073,1726383
game_000073,1531471
game_000073,1531470
game_000073,1531473
game_000073,1531472
game_000073,1146930
game_000073,1148022
game_000073,1196100
game_000073,1148020
game_000073,1148021
game_000073,944071
game_000073,1059820
game_000073,1065491
game_000073,1065490
game_000073,715194
game_000073,944070
game_000073,715191
game_000073,614580
game_000073,547502
game_000073,515191
game_000073,420610
game_000073,369150
game_000073,715190
game_000073,547500
game_000073,515190
